cliente_id,tipo_documento,numero_documento,nombres,apellidos,email,telefono,fecha_registro,estado_cliente,ciudad,segmento,fecha_nacimiento,ingresos_mensuales
C0001,CC,42868828,Andres,Salamanca,andres.salamanca@correo.com,3821668732,2024-11-23,Activo,Barranquilla,Pyme,1998-03-24,26211873
C0002,CC,22575562,Beatriz,Bedoya,beatriz.bedoya@correo.com,3397226012,2023-01-28,Pendiente,Barranquilla,Pyme,1990-03-06,18456909
C0003,CC,89089901,Helena,Zapata,helena.zapata@correo.com,3547295260,2024-12-15,Inactivo,Cartagena,Pyme,1983-12-17,26961350
C0004,CC,23718431,Hernando,Zuluaga,hernando.zuluaga@correo.com,3415831819,2023-12-19,Bloqueado,Medellin,Retail,1992-01-31,4745263
C0005,CC,60806024,Tatiana,Henao,tatiana.henao@correo.com,3319335534,2024-01-06,Pendiente,Medellin,Corporativo,1990-11-25,11337430
C0006,CC,48840994,Jairo,Pacheco,jairo.pacheco@correo.com,3531831063,2023-10-12,Suspendido,Medellin,Pyme,1985-05-04,4889045
C0007,CE,99949389,Lorena,Ospina,lorena.ospina@correo.com,3281691040,2024-09-15,Activo,Cartagena,Corporativo,1993-06-26,24436053
C0008,NIT,843863022,Importadora Pacific SAS,,importadorapacificsas.contacto@empresa.com,3517507864,2023-08-13,Pendiente,Manizales,Retail,,10557945
C0009,CC,52339391,David,Cifuentes,david.cifuentes@correo.com,3538538251,2024-08-03,Inactivo,Pereira,Retail,1997-03-16,3720921
C0010,CC,29175900,Marcela,Cordoba,marcela.cordoba@correo.com,3967503414,2024-07-05,Pendiente,Cartagena,Pyme,1976-10-14,9775445
C0011,CC,28566572,Lorena,Pacheco,lorena.pacheco@correo.com,3266661351,2023-04-23,Activo,Ibague,Retail,1971-11-10,4550413
C0012,CC,89978790,Nicolas,Castano,nicolas.castano@correo.com,3182070937,2023-01-12,Pendiente,Manizales,Corporativo,1995-07-08,9936057
C0013,CC,24972279,Margarita,Zuluaga,margarita.zuluaga@correo.com,3477187530,2023-01-04,Suspendido,Cartagena,Retail,1997-05-23,6806893
C0014,CE,93926371,Tomas,Giraldo,tomas.giraldo@correo.com,3531682744,2023-07-23,Pendiente,Cartagena,Corporativo,1971-11-10,18534339
C0015,CC,75579548,Fabian,Valencia,fabian.valencia@correo.com,3386149359,2023-09-03,Bloqueado,Bogota,Pyme,1967-08-08,13679613
C0016,NIT,822992422,Soluciones Tech Colombia SAS,,solucionestechcolombiasas.contacto@empresa.com,3298550256,2023-05-09,Pendiente,Santa Marta,Retail,,3822386
C0017,CC,45575298,Tatiana,Lopez,tatiana.lopez@correo.com,3351837852,2024-07-06,Inactivo,Ibague,Corporativo,1998-11-18,15698153
C0018,CC,68800797,Diana,Posada,diana.posada@correo.com,3155377076,2023-09-11,Activo,Neiva,Corporativo,1975-01-30,16649361
C0019,CC,40885476,William,Suarez,william.suarez@correo.com,3040728046,2024-12-25,Activo,Cucuta,Pyme,1993-04-23,1741284
C0020,CC,54349361,Hugo,Cifuentes,hugo.cifuentes@correo.com,3382374753,2024-11-16,Bloqueado,Medellin,Corporativo,1986-10-11,9486110
C0021,CE,87337818,Mario,Vargas,mario.vargas@correo.com,3123009833,2024-02-21,Suspendido,Manizales,Pyme,1973-07-17,27827459
C0022,CC,,Lorena,Medina,lorena.medina@correo.com,3524665841,2023-03-04,Activo,Manizales,Corporativo,1983-01-23,3317683
C0023,CC,81979055,Hernando,Nieto,hernando.nieto@correo.com,3320117988,2023-10-13,Inactivo,Manizales,Pyme,1985-10-02,15655998
C0024,NIT,947726826,Servicios Integrales SAS,,serviciosintegralessas.contacto@empresa.com,3141726318,2023-01-16,Pendiente,Medellin,Pyme,,23382351
C0025,CC,74606833,Pablo,Velez,pablo.velez@correo.com,3645594951,2024-01-24,Inactivo,Barranquilla,Retail,1965-02-05,3467477
C0026,CC,84593961,Jimena,Medina,jimena.medina@correo.com,3317849494,2023-07-14,Inactivo,Pasto,Corporativo,1978-04-24,17829982
C0027,CC,17672593,Mario,Valencia,mario.valencia@correo.com,3078159587,2024-06-27,Pendiente,Bogota,Corporativo,1972-01-24,17498367
C0028,CE,19196777,Felipe,Monsalve,felipe.monsalve@correo.com,3943046464,2024-02-18,Inactivo,Cucuta,Pyme,1970-05-19,24156373
C0029,CC,66267415,Fabian,Florez,fabian.florez@correo.com,3399889098,2023-11-20,Pendiente,Pasto,Corporativo,1976-09-12,20465868
C0030,CC,63121477,Helena,Restrepo,helena.restrepo@correo.com,3111250299,2024-04-13,Bloqueado,Cali,Corporativo,1979-03-09,23159412
C0031,CC,23419256,Adriana,Vargas,adriana.vargas@correo.com,3519233013,2023/09/29,Pendiente,Medellin,Corporativo,1970-12-11,8652271
C0032,NIT,899194173,Importadora Pacific SAS,,importadorapacificsas.contacto@empresa.com,3492097999,2024-12-21,Pendiente,Cartagena,Pyme,,16203034
C0033,CC,50181935,Jairo,Suarez,jairo.suarez@correo.com,3184252420,2023-09-28,Inactivo,Neiva,Corporativo,1970-03-07,4975786
C0034,CC,91178885,Jose,Tamayo,jose.tamayo@correo.com,3477834855,2024-12-04,Inactivo,Barranquilla,Corporativo,1993-06-14,13005153
C0035,CE,22388090,Ingrid,Duarte,ingrid.duarte@correo.com,3295511909,2023-01-04,Activo,Pasto,Retail,1979-12-18,10783847
C0036,CC,84045292,Fernanda,Zapata,fernanda.zapata@correo.com,3283227889,2023-04-25,Activo,Santa Marta,Retail,1968-05-17,20320911
C0037,CC,88183110,David,Posada,david.posada@correo.com,3515354599,2023-02-12,Inactivo,Ibague,Pyme,1978-10-30,-1500000
C0038,CC,99514287,Gloria,Quevedo,gloria.quevedo@correo.com,3241774346,2024-02-21,Pendiente,Medellin,Retail,1992-11-03,27676357
C0039,CC,65337219,Alejandro,Monsalve,alejandro.monsalve@correo.com,3345810056,2024-02-26,Bloqueado,Bogota,Pyme,2000-12-26,26215002
C0040,NIT,988247930,Manufacturas del Valle SAS,,manufacturasdelvallesas.contacto@empresa.com,3371780854,2023-08-16,Suspendido,Medellin,Retail,,2799382
C0041,CC,39920292,Jimena,Pacheco,jimena.pacheco@correo.com,3147463522,2023-12-03,Suspendido,Bogota,Corporativo,1977-07-01,7980360
C0042,CE,63643924,Carolina,Morales,carolina.morales@correo.com,3287925434,2023-04-29,Activo,Pasto,Corporativo,1976-09-19,12611545
C0043,CC,90070438,Beatriz,Giraldo,beatriz.giraldo@correo.com,3825521714,2024-03-22,Bloqueado,Pereira,Retail,1992-03-12,25945915
C0044,CC,35511941,Sandra,Vargas,sandra.vargas@correo.com,3836445607,2023-01-02,Suspendido,Cartagena,Pyme,1988-04-28,25282887
C0045,CC,99152472,Nathalia,Escobar,nathalia.escobar@correo.com,3150308572,2023-11-18,EN REVISION,Neiva,Retail,1994-10-04,22409625
C0046,CC,53779528,Diana,Pizarro,diana.pizarro@correo.com,3699245317,2023-05-11,Pendiente,Pereira,Corporativo,1973-08-10,11420542
C0047,CC,92613013,Diana,Monsalve,diana.monsalve@correo.com,3438210242,2023-01-01,Pendiente,Cucuta,Retail,1978-08-19,15125621
C0048,NIT,955688478,Inversiones Capital SAS,,inversionescapitalsas.contacto@empresa.com,3738682516,2024-03-28,Suspendido,Cucuta,Corporativo,,12312889
C0049,CE,98429450,Natalia,Lopez,natalia.lopez@correo.com,3351663795,2023-12-10,Pendiente,Medellin,Retail,1969-03-11,18795699
C0050,CC,29777514,Alejandro,Nieto,alejandro.nieto@correo.com,3171124923,2024-09-17,Suspendido,Bogota,Pyme,2003-02-13,9715552
